rootfile	callNumber	pageNumber	multiPageSortOrder	title	author	imprintOrigin	bibId	holdingsId	lunaObjectId	lunaImageId	lunaURL	size4jpgURL	size5jpgURL	size6jpgURL	size7jpgURL	dateCreated	dateUpdated
143958	STC 17884 copy 1	leaf E1 verso (page 30) || leaf E2 recto (page 31)	22	A game at chesse as it hath bine sundrey times acted at the Globe on the Banck side	Middleton, Thomas, d. 1627.	[1625?]	164514	158342	210647	1214973	http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1214973~210647	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/Size4/FOLGERCM1~6~6/647/143958.jpg	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143958.jp2&level=2&width=1684&height=1103	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143958.jp2&level=1&width=3369&height=2208	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143958.jp2&width=6739&height=4417	2016-12-06T16:36:26Z	2016-12-06T16:36:26Z
143959	STC 17884 copy 1	leaf E2 verso (page 32) || leaf E3 recto (page 33)	23	A game at chesse as it hath bine sundrey times acted at the Globe on the Banck side	Middleton, Thomas, d. 1627.	[1625?]	164514	158342	210646	1214974	http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1214974~210646	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/Size4/FOLGERCM1~6~6/647/143959.jpg	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143959.jp2&level=2&width=1687&height=1104	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143959.jp2&level=1&width=3374&height=2208	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143959.jp2&width=6748&height=4416	2016-12-06T16:36:26Z	2016-12-06T16:36:26Z
14396	STC 22313 copy 2	A1v || A2r	6	[King Richard II] The life and death of King Richard the second. With new additions of the Parliament scene, and the deposing of King Richard.	Shakespeare, William, 1564-1616.	1634	163923	157499	108703	141661	http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~141661~108703	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/Size4/FOLGERCM1-6-NA/1072/014396.jpg	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1-6-NA/1072/014396.jp2&level=2&width=1764&height=1252	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1-6-NA/1072/014396.jp2&level=1&width=3528&height=2505	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1-6-NA/1072/014396.jp2&width=7056&height=5011	2014-12-30T17:31:15Z	2014-12-30T17:31:15Z
143960	STC 17884 copy 1	leaf E3 verso (page 34) || leaf E4 recto (page 35)	24	A game at chesse as it hath bine sundrey times acted at the Globe on the Banck side	Middleton, Thomas, d. 1627.	[1625?]	164514	158342	210645	1214975	http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1214975~210645	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/Size4/FOLGERCM1~6~6/647/143960.jpg	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143960.jp2&level=2&width=1679&height=1096	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143960.jp2&level=1&width=3359&height=2193	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143960.jp2&width=6718&height=4387	2016-12-06T16:36:26Z	2016-12-06T16:36:26Z
143961	STC 17884 copy 1	leaf E4 verso (page 36) || leaf F1 recto (page 37)	25	A game at chesse as it hath bine sundrey times acted at the Globe on the Banck side	Middleton, Thomas, d. 1627.	[1625?]	164514	158342	210644	1214976	http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1214976~210644	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/Size4/FOLGERCM1~6~6/647/143961.jpg	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143961.jp2&level=2&width=1684&height=1103	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143961.jp2&level=1&width=3369&height=2206	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143961.jp2&width=6739&height=4414	2016-12-06T16:36:26Z	2016-12-06T16:36:26Z
143962	STC 17884 copy 1	leaf F1 verso (page 38) || leaf F2 recto (page 39)	26	A game at chesse as it hath bine sundrey times acted at the Globe on the Banck side	Middleton, Thomas, d. 1627.	[1625?]	164514	158342	210643	1214977	http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1214977~210643	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/Size4/FOLGERCM1~6~6/647/143962.jpg	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143962.jp2&level=2&width=1681&height=1099	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143962.jp2&level=1&width=3362&height=2199	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143962.jp2&width=6725&height=4400	2016-12-06T16:36:26Z	2016-12-06T16:36:26Z
143963	STC 17884 copy 1	leaf F2 verso (page 40) || leaf E3 [i.e. leaf F3] recto (page 41)	27	A game at chesse as it hath bine sundrey times acted at the Globe on the Banck side	Middleton, Thomas, d. 1627.	[1625?]	164514	158342	210642	1214978	http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1214978~210642	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/Size4/FOLGERCM1~6~6/647/143963.jpg	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143963.jp2&level=2&width=1681&height=1103	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143963.jp2&level=1&width=3362&height=2206	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143963.jp2&width=6725&height=4414	2016-12-06T16:36:26Z	2016-12-06T16:36:26Z
143964	STC 17884 copy 1	leaf E3 [i.e. F3] verso (page 32 [i.e. page 42]) || leaf F4 recto (page 33 [i.e. page 43])	28	A game at chesse as it hath bine sundrey times acted at the Globe on the Banck side	Middleton, Thomas, d. 1627.	[1625?]	164514	158342	210641	1214979	http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1214979~210641	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/Size4/FOLGERCM1~6~6/647/143964.jpg	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143964.jp2&level=2&width=1681&height=1096	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143964.jp2&level=1&width=3362&height=2193	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143964.jp2&width=6724&height=4387	2016-12-06T16:36:26Z	2016-12-06T16:36:26Z
143965	STC 17884 copy 1	leaf F4 verso (page 44) || leaf G1 recto (page 45)	29	A game at chesse as it hath bine sundrey times acted at the Globe on the Banck side	Middleton, Thomas, d. 1627.	[1625?]	164514	158342	210640	1214980	http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1214980~210640	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/Size4/FOLGERCM1~6~6/647/143965.jpg	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143965.jp2&level=2&width=1674&height=1100	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143965.jp2&level=1&width=3348&height=2200	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143965.jp2&width=6696&height=4400	2016-12-06T16:36:27Z	2016-12-06T16:36:27Z
143966	STC 17884 copy 1	leaf G1 verso (page 46) || leaf G2 recto (page 47)	30	A game at chesse as it hath bine sundrey times acted at the Globe on the Banck side	Middleton, Thomas, d. 1627.	[1625?]	164514	158342	210639	1214981	http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1214981~210639	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/Size4/FOLGERCM1~6~6/647/143966.jpg	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143966.jp2&level=2&width=1674&height=1096	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143966.jp2&level=1&width=3348&height=2193	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143966.jp2&width=6697&height=4387	2016-12-06T16:36:27Z	2016-12-06T16:36:27Z
